date,open,high,low,close,volume,adjclose
2017-01-24,29.860001,30.059999,29.82,30.00,31770900,30.00
2017-01-23,30.50,30.51,29.58,29.75,56425500,29.75
2017-01-20,30.76,30.90,30.299999,30.530001,82467000,30.530001
2017-01-19,31.25,31.34,31.049999,31.209999,37571200,31.209999
2017-01-18,31.209999,31.34,31.129999,31.23,24670000,31.23
2017-01-17,31.17,31.450001,31.16,31.27,28717900,31.27
